date,time,line_short_code,headsign,freq_in_sec
22-Jul-22,4:20:05 PM,KJL,to Gombak,420
22-Jul-22,4:20:07 PM,KJL,to Putra Heights,420
22-Jul-22,4:20:07 PM,MRL,to Titiwangsa,300
22-Jul-22,4:20:08 PM,MRL,to KL Sentral,300
22-Jul-22,4:20:08 PM,SPL,to Sentul Timur,840
22-Jul-22,4:20:10 PM,SPL,to Putra Heights,840
22-Jul-22,4:20:11 PM,SPL,to Sentul Timur,840
22-Jul-22,4:20:11 PM,SPL,to Putra Heights,840
22-Jul-22,4:20:12 PM,PYL,to Putrajaya,360
22-Jul-22,4:20:12 PM,PYL,to Kwasa Damansara,360
22-Jul-22,4:25:02 PM,AGL,to Sentul Timur,480
22-Jul-22,4:25:04 PM,AGL,to Ampang,480
22-Jul-22,4:25:04 PM,KGL,to Kajang,480
22-Jul-22,4:25:05 PM,KGL,to Kwasa Damansara,480
22-Jul-22,4:25:05 PM,KJL,to Gombak,420
22-Jul-22,4:25:06 PM,KJL,to Putra Heights,420
22-Jul-22,4:25:06 PM,MRL,to Titiwangsa,300
22-Jul-22,4:25:08 PM,MRL,to KL Sentral,300
22-Jul-22,4:25:08 PM,SPL,to Sentul Timur,840
22-Jul-22,4:25:09 PM,SPL,to Putra Heights,840
22-Jul-22,4:25:09 PM,SPL,to Sentul Timur,840
22-Jul-22,4:25:10 PM,SPL,to Putra Heights,840
22-Jul-22,4:25:11 PM,PYL,to Putrajaya,360
22-Jul-22,4:25:12 PM,PYL,to Kwasa Damansara,360
22-Jul-22,4:30:17 PM,AGL,to Sentul Timur,480
22-Jul-22,4:30:17 PM,AGL,to Ampang,480
22-Jul-22,4:30:17 PM,KGL,to Kajang,480
22-Jul-22,4:30:17 PM,KGL,to Kwasa Damansara,480
22-Jul-22,4:30:17 PM,KJL,to Gombak,420
22-Jul-22,4:30:17 PM,KJL,to Putra Heights,420
22-Jul-22,4:30:17 PM,MRL,to Titiwangsa,300
22-Jul-22,4:30:17 PM,MRL,to KL Sentral,300
22-Jul-22,4:30:17 PM,SPL,to Sentul Timur,840
22-Jul-22,4:30:17 PM,SPL,to Putra Heights,840
22-Jul-22,4:30:17 PM,PYL,to Putrajaya,360
22-Jul-22,4:30:17 PM,PYL,to Kwasa Damansara,360
22-Jul-22,4:35:02 PM,AGL,to Sentul Timur,480
22-Jul-22,4:35:02 PM,AGL,to Ampang,480
22-Jul-22,4:35:02 PM,KGL,to Kajang,480
22-Jul-22,4:35:02 PM,KGL,to Kwasa Damansara,480
22-Jul-22,4:35:02 PM,KJL,to Gombak,420
22-Jul-22,4:35:02 PM,KJL,to Putra Heights,420
22-Jul-22,4:35:02 PM,MRL,to Titiwangsa,300
22-Jul-22,4:35:02 PM,MRL,to KL Sentral,300
22-Jul-22,4:35:02 PM,SPL,to Sentul Timur,840
22-Jul-22,4:35:02 PM,SPL,to Putra Heights,840
22-Jul-22,4:35:02 PM,PYL,to Putrajaya,360
22-Jul-22,4:35:03 PM,PYL,to Kwasa Damansara,360
22-Jul-22,4:40:01 PM,AGL,to Sentul Timur,480
22-Jul-22,4:40:01 PM,AGL,to Ampang,480
22-Jul-22,4:40:01 PM,KGL,to Kajang,480
22-Jul-22,4:40:01 PM,KGL,to Kwasa Damansara,480
22-Jul-22,4:40:01 PM,KJL,to Gombak,420
22-Jul-22,4:40:01 PM,KJL,to Putra Heights,420
22-Jul-22,4:40:01 PM,MRL,to Titiwangsa,300
22-Jul-22,4:40:01 PM,MRL,to KL Sentral,300
22-Jul-22,4:40:01 PM,SPL,to Sentul Timur,840
22-Jul-22,4:40:02 PM,SPL,to Putra Heights,840
22-Jul-22,4:40:02 PM,SPL,to Sentul Timur,840
22-Jul-22,4:40:02 PM,PYL,to Putrajaya,360
22-Jul-22,4:40:02 PM,PYL,to Kwasa Damansara,360
22-Jul-22,4:45:01 PM,AGL,to Sentul Timur,480
22-Jul-22,4:45:01 PM,AGL,to Ampang,480
22-Jul-22,4:45:01 PM,KGL,to Kajang,480
22-Jul-22,4:45:01 PM,KGL,to Kwasa Damansara,480
22-Jul-22,4:45:01 PM,KJL,to Gombak,420
22-Jul-22,4:45:01 PM,KJL,to Putra Heights,420
22-Jul-22,4:45:01 PM,MRL,to Titiwangsa,300
22-Jul-22,4:45:01 PM,MRL,to KL Sentral,300
22-Jul-22,4:45:01 PM,SPL,to Sentul Timur,840
22-Jul-22,4:45:02 PM,SPL,to Putra Heights,840
22-Jul-22,4:45:02 PM,SPL,to Sentul Timur,840
22-Jul-22,4:45:02 PM,PYL,to Putrajaya,360
22-Jul-22,4:45:02 PM,PYL,to Kwasa Damansara,360
22-Jul-22,4:50:01 PM,AGL,to Sentul Timur,480
22-Jul-22,4:50:01 PM,AGL,to Ampang,480
22-Jul-22,4:50:01 PM,KGL,to Kajang,480
22-Jul-22,4:50:01 PM,KGL,to Kwasa Damansara,480
22-Jul-22,4:50:01 PM,KJL,to Gombak,420
22-Jul-22,4:50:02 PM,KJL,to Putra Heights,420
22-Jul-22,4:50:02 PM,MRL,to Titiwangsa,300
22-Jul-22,4:50:02 PM,MRL,to KL Sentral,300
22-Jul-22,4:50:02 PM,SPL,to Sentul Timur,840
22-Jul-22,4:50:02 PM,SPL,to Putra Heights,840
22-Jul-22,4:50:02 PM,PYL,to Putrajaya,360
22-Jul-22,4:50:02 PM,PYL,to Kwasa Damansara,360
22-Jul-22,4:55:01 PM,AGL,to Sentul Timur,480
22-Jul-22,4:55:02 PM,AGL,to Ampang,480
22-Jul-22,4:55:02 PM,KGL,to Kajang,480
22-Jul-22,4:55:02 PM,KGL,to Kwasa Damansara,480
22-Jul-22,4:55:02 PM,KJL,to Gombak,420
22-Jul-22,4:55:02 PM,KJL,to Putra Heights,420
22-Jul-22,4:55:02 PM,MRL,to Titiwangsa,300
22-Jul-22,4:55:02 PM,MRL,to KL Sentral,300
22-Jul-22,4:55:02 PM,SPL,to Sentul Timur,840
22-Jul-22,4:55:02 PM,SPL,to Putra Heights,840
22-Jul-22,4:55:03 PM,SPL,to Putra Heights,840
22-Jul-22,4:55:03 PM,PYL,to Putrajaya,360
22-Jul-22,4:55:03 PM,PYL,to Kwasa Damansara,360
22-Jul-22,5:00:01 PM,AGL,to Sentul Timur,360
22-Jul-22,5:00:01 PM,AGL,to Ampang,360
22-Jul-22,5:00:01 PM,KGL,to Kajang,360
22-Jul-22,5:00:01 PM,KGL,to Kwasa Damansara,360
22-Jul-22,5:00:01 PM,KJL,to Gombak,360
22-Jul-22,5:00:01 PM,KJL,to Putra Heights,360
22-Jul-22,5:00:01 PM,MRL,to Titiwangsa,600
22-Jul-22,5:00:01 PM,MRL,to KL Sentral,600
22-Jul-22,5:00:01 PM,SPL,to Sentul Timur,360
22-Jul-22,5:00:01 PM,SPL,to Putra Heights,360
22-Jul-22,5:00:02 PM,SPL,to Sentul Timur,360
22-Jul-22,5:00:02 PM,SPL,to Putra Heights,360
22-Jul-22,5:00:02 PM,PYL,to Putrajaya,240
22-Jul-22,5:00:02 PM,PYL,to Kwasa Damansara,240
22-Jul-22,5:05:01 PM,AGL,to Sentul Timur,360
22-Jul-22,5:05:01 PM,AGL,to Ampang,360
22-Jul-22,5:05:01 PM,KGL,to Kajang,360
22-Jul-22,5:05:01 PM,KGL,to Kwasa Damansara,360
22-Jul-22,5:05:01 PM,KJL,to Gombak,360
22-Jul-22,5:05:01 PM,KJL,to Putra Heights,360
22-Jul-22,5:05:01 PM,MRL,to Titiwangsa,600
22-Jul-22,5:05:01 PM,MRL,to KL Sentral,600
22-Jul-22,5:05:01 PM,SPL,to Sentul Timur,360
22-Jul-22,5:05:02 PM,SPL,to Putra Heights,360
22-Jul-22,5:05:02 PM,SPL,to Sentul Timur,360
22-Jul-22,5:05:02 PM,PYL,to Putrajaya,240
22-Jul-22,5:05:02 PM,PYL,to Kwasa Damansara,240
22-Jul-22,5:10:02 PM,AGL,to Sentul Timur,360
22-Jul-22,5:10:02 PM,AGL,to Ampang,360
22-Jul-22,5:10:02 PM,KGL,to Kajang,360
22-Jul-22,5:10:02 PM,KGL,to Kwasa Damansara,360
22-Jul-22,5:10:02 PM,KJL,to Gombak,360
22-Jul-22,5:10:02 PM,KJL,to Putra Heights,360
22-Jul-22,5:10:02 PM,MRL,to Titiwangsa,600
22-Jul-22,5:10:02 PM,MRL,to KL Sentral,600
22-Jul-22,5:10:02 PM,SPL,to Sentul Timur,360
22-Jul-22,5:10:03 PM,SPL,to Putra Heights,360
22-Jul-22,5:10:03 PM,SPL,to Sentul Timur,360
