date,time,line_short_code,headsign,freq_in_sec
22 July 2022, 03:40:06 PM,MRL,to Titiwangsa,300
22 July 2022, 03:40:06 PM,MRL,to KL Sentral,300
22 July 2022, 03:40:07 PM,SPL,to Sentul Timur,840
22 July 2022, 03:40:07 PM,SPL,to Putra Heights,840
22 July 2022, 03:40:09 PM,SPL,to Sentul Timur,840
22 July 2022, 03:40:09 PM,SPL,to Putra Heights,840
22 July 2022, 03:40:11 PM,PYL,to Putrajaya,360
22 July 2022, 03:40:11 PM,PYL,to Kwasa Damansara,360
22 July 2022, 03:45:01 PM,AGL,to Sentul Timur,600
22 July 2022, 03:45:02 PM,AGL,to Ampang,600
22 July 2022, 03:45:02 PM,KGL,to Kajang,480
22 July 2022, 03:45:04 PM,KGL,to Kwasa Damansara,480
22 July 2022, 03:45:04 PM,KJL,to Gombak,420
22 July 2022, 03:45:06 PM,KJL,to Putra Heights,420
22 July 2022, 03:45:06 PM,MRL,to Titiwangsa,300
22 July 2022, 03:45:07 PM,MRL,to KL Sentral,300
22 July 2022, 03:45:07 PM,SPL,to Sentul Timur,840
22 July 2022, 03:45:09 PM,SPL,to Putra Heights,840
22 July 2022, 03:45:09 PM,SPL,to Sentul Timur,840
22 July 2022, 03:45:10 PM,SPL,to Putra Heights,840
22 July 2022, 03:45:12 PM,PYL,to Putrajaya,360
22 July 2022, 03:45:12 PM,PYL,to Kwasa Damansara,360
22 July 2022, 03:50:03 PM,AGL,to Sentul Timur,600
22 July 2022, 03:50:03 PM,AGL,to Ampang,600
22 July 2022, 03:50:05 PM,KGL,to Kajang,480
22 July 2022, 03:50:05 PM,KGL,to Kwasa Damansara,480
22 July 2022, 03:50:06 PM,KJL,to Gombak,420
22 July 2022, 03:50:06 PM,KJL,to Putra Heights,420
22 July 2022, 03:50:08 PM,MRL,to Titiwangsa,300
22 July 2022, 03:50:09 PM,MRL,to KL Sentral,300
22 July 2022, 03:50:09 PM,SPL,to Sentul Timur,840
22 July 2022, 03:50:10 PM,SPL,to Putra Heights,840
22 July 2022, 03:50:10 PM,SPL,to Sentul Timur,840
22 July 2022, 03:50:12 PM,SPL,to Putra Heights,840
22 July 2022, 03:50:12 PM,PYL,to Putrajaya,360
22 July 2022, 03:50:13 PM,PYL,to Kwasa Damansara,360
22 July 2022, 03:55:03 PM,AGL,to Sentul Timur,600
22 July 2022, 03:55:03 PM,AGL,to Ampang,600
22 July 2022, 03:55:04 PM,KGL,to Kajang,480
22 July 2022, 03:55:04 PM,KGL,to Kwasa Damansara,480
22 July 2022, 03:55:05 PM,KJL,to Gombak,420
22 July 2022, 03:55:05 PM,KJL,to Putra Heights,420
22 July 2022, 03:55:07 PM,MRL,to Titiwangsa,300
22 July 2022, 03:55:07 PM,MRL,to KL Sentral,300
22 July 2022, 03:55:09 PM,SPL,to Sentul Timur,840
22 July 2022, 03:55:09 PM,SPL,to Putra Heights,840
22 July 2022, 03:55:10 PM,SPL,to Sentul Timur,840
22 July 2022, 03:55:10 PM,SPL,to Putra Heights,840
22 July 2022, 03:55:11 PM,PYL,to Putrajaya,360
